Body key,Unused,Size,Build power,Build points,Weight,Body points,Body model,Unused,Weapon slots,Engine power,AFRK,AFRH,AREK,AREH,ALEK,ALEH,ARIK,ARIH,ATOK,ATOH,ABOK,ABOH,Flame model,Designable
ZNULLBODY,Level All,LIGHT,0,0,0,0,MIBNKBOD.PIE,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransporterBody,Level All,MEDIUM,325,637,250,200,drcytran.pie,100,1,2000,20,9,20,9,20,9,20,9,20,9,20,9,0,0
MP-SuperTransportBody,Level All,HEAVY,500,1000,1850,1000,drtrans.pie,100,1,6100,200,200,200,200,200,200,200,200,200,200,200,200,0,0
Superbody,Level All,HEAVY,10,10,2700,9000,DRHBOD11.PIE,500,1,40000,999,999,999,999,999,999,999,999,999,999,999,999,0,0
FireBody,Level One,LIGHT,4,75,3000,200,EXFIRE.PIE,50,1,4000,4,1,4,1,4,1,4,1,4,1,4,1,0,0
CybFlamer01CGrd,Level All,LIGHT,21,75,150,200,cybd_std.pie,100,1,600,12,6,12,6,12,6,12,6,12,6,12,6,0,0
Cyb-Hvybod-TK,Level Two,LIGHT,50,205,250,300,scbd_std.pie,100,1,500,15,8,15,8,15,8,15,8,15,8,15,8,0,0
BusBody,Level One,LIGHT,4,75,2000,200,EXSCHOOL.PIE,50,1,4000,4,1,4,1,4,1,4,1,4,1,4,1,0,0
Body9REC,Level All,HEAVY,71,420,3300,225,DRHBOD09.PIE,500,1,18000,22,15,22,15,22,15,22,15,22,15,22,15,fxvtl09.pie,1
Body8MBT,Level All,MEDIUM,39,250,1500,125,DRMBOD08.PIE,250,1,15000,12,12,12,12,12,12,12,12,12,12,12,12,fxvtl5to8.pie,1
Body4ABT,Level All,LIGHT,25,100,450,55,DRLBOD04.PIE,100,1,5000,8,8,8,8,8,8,8,8,8,8,8,8,fxvtl04.pie,1
B4body-sml-trike01,Level One,LIGHT,2,65,675,80,extrike.PIE,35,1,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0
B3bodyRKbuggy01,Level One,LIGHT,3,80,900,100,exbugRK.PIE,50,1,2200,3,1,3,1,3,1,3,1,3,1,3,1,0,0
B3body-sml-buggy01,Level One,LIGHT,3,80,900,100,exbuggy.PIE,50,1,2200,3,1,3,1,3,1,3,1,3,1,3,1,0,0
B2RKJeepBody,Level One,LIGHT,4,75,900,120,EXjeepRK.PIE,50,1,2200,4,1,4,1,4,1,4,1,4,1,4,1,0,0
B2JeepBody,Level One,LIGHT,4,75,900,120,EXjeep.PIE,50,1,2200,4,1,4,1,4,1,4,1,4,1,4,1,0,0
B1BaBaPerson01,Level All,HEAVY,1,20,100,29,EXBLOKE.PIE,50,1,125,1,1,1,1,1,1,1,1,1,1,1,1,0,0
FKTankStart,Level All,LIGHT,75,15000,2500,2000,DRMBOD05.PIE,100,1,100000,150,150,150,150,150,150,150,150,150,150,150,150,fxvtl5to8.pie,1
FKTankHiThermal,Level All,LIGHT,125,25000,3125,2200,DRMBOD08.PIE,100,1,125000,150,200,150,200,150,200,150,200,150,200,150,200,fxvtl5to8.pie,1
FKTankHiKinetic,Level All,LIGHT,125,25000,3125,2200,DRMBOD06.PIE,100,1,125000,200,150,200,150,200,150,200,150,200,150,200,150,fxvtl5to8.pie,1
FKTankHiSpeed,Level All,LIGHT,125,25000,3125,2200,DRMBOD07.PIE,100,1,150000,150,150,150,150,150,150,150,150,150,150,150,150,fxvtl5to8.pie,1
FKCyborg,Level All,LIGHT,30,10000,100,1200,cybd_std.pie,100,1,1000,100,100,100,100,100,100,100,100,100,100,100,100,0,0
FKTransportBody,Level All,LIGHT,178,105000,15000,3000,drcytran.pie,100,1,100000,250,250,250,250,250,250,250,250,250,250,250,250,0,0
