Body key,Class,Droid Type
ZNULLBODY,0,0
TransporterBody,Transports,TRANSPORTER
MP-SuperTransportBody,Transports,TRANSPORTER
Superbody,Cyborgs,0
FireBody,Cyborgs,0
CybFlamer01CGrd,Cyborgs,0
Cyb-Hvybod-TK,Cyborgs,0
BusBody,Babas,0
Body9REC,Babas,0
Body8MBT,Babas,0
Body4ABT,Babas,0
B4body-sml-trike01,Babas,0
B3bodyRKbuggy01,Babas,0
B3body-sml-buggy01,Babas,0
B2RKJeepBody,Babas,0
B2JeepBody,Babas,0
B1BaBaPerson01,Babas,PERSON
FKTankStart,Droids,0
FKTankHiThermal,Droids,0
FKTankHiKinetic,Droids,0
FKTankHiSpeed,Droids,0
FKCyborg-Cannon,Cyborgs,CYBORG
FKCyborg-Cannon2,Cyborgs,CYBORG
FKCyborg-Cannon3,Cyborgs,CYBORG
FKCyborg-Flamethrower,Cyborgs,CYBORG
FKCyborg-Flamethrower2,Cyborgs,CYBORG
FKCyborg-Flamethrower3,Cyborgs,CYBORG
FKCyborg-GrenadeLauncher,Cyborgs,CYBORG
FKCyborg-GrenadeLauncher2,Cyborgs,CYBORG
FKCyborg-GrenadeLauncher3,Cyborgs,CYBORG
FKCyborg-Lancer,Cyborgs,CYBORG
FKCyborg-Lancer2,Cyborgs,CYBORG
FKCyborg-MG,Cyborgs,CYBORG
FKCyborg-MG2,Cyborgs,CYBORG
FKCyborg-MG3,Cyborgs,CYBORG
FKCyborg-Engineer,Cyborgs,CYBORG
FKCyborg-Repair,Cyborgs,CYBORG
FKTransportBody,Transports,TRANSPORTER
