Research ID,-0,Left icon,Major tech,Right icon,IMD,-0,MsgName,StructName,CompName,CompType,ResearchPoints,keyTopic,Prereqs,Function results,Structure prereqs,Redundant structures,Structure results,Redundant components,Component results
R-B-HiKin,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_DF_HCW1,0,FKTankHiKinetic,BODY,5469,0,1,0,0,0,0,0,1
R-B-HiSpeed,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_DF_HCW1,0,FKTankHiSpeed,BODY,5469,0,1,0,0,0,0,0,1
R-B-HiTherm,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_DF_HCW1,0,FKTankHiThermal,BODY,5469,0,1,0,0,0,0,0,1
R-BU-BodyPoints1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,5287,0,0,1,0,0,0,0,0
R-BU-BodyPoints2,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,5815,0,1,1,0,0,0,0,0
R-BU-BodyPoints3,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,6397,0,1,1,0,0,0,0,0
R-BU-BodyPoints4,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,7037,0,1,1,0,0,0,0,0
R-BU-BodyPoints5,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,7740,0,1,1,0,0,0,0,0
R-BU-Engine1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_DF_HCW1,0,0,0,7839,0,0,1,0,0,0,0,0
R-BU-Engine2,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_DF_HCW1,0,0,0,8231,0,1,1,0,0,0,0,0
R-BU-Engine3,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_DF_HCW1,0,0,0,8642,0,1,1,0,0,0,0,0
R-BU-Engine4,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_DF_HCW1,0,0,0,9075,0,1,1,0,0,0,0,0
R-BU-Engine5,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,iceng.pie,0,RES_DF_HCW1,0,0,0,9528,0,1,1,0,0,0,0,0
R-BU-KineticArmour1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,5287,0,0,1,0,0,0,0,0
R-BU-KineticArmour2,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,5815,0,1,1,0,0,0,0,0
R-BU-KineticArmour3,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,6397,0,1,1,0,0,0,0,0
R-BU-KineticArmour4,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,7037,0,1,1,0,0,0,0,0
R-BU-KineticArmour5,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_DF_HCW1,0,0,0,7740,0,1,1,0,0,0,0,0
R-BU-ThermalArmour1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_DF_HCW1,0,0,0,5287,0,0,1,0,0,0,0,0
R-BU-ThermalArmour2,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_DF_HCW1,0,0,0,5815,0,1,1,0,0,0,0,0
R-BU-ThermalArmour3,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_DF_HCW1,0,0,0,6397,0,1,1,0,0,0,0,0
R-BU-ThermalArmour4,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_DF_HCW1,0,0,0,7037,0,1,1,0,0,0,0,0
R-BU-ThermalArmour5,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icamrhot.pie,0,RES_DF_HCW1,0,0,0,7740,0,1,1,0,0,0,0,0
R-Def-Bunker,Level One,0,0,IMAGE_RES_DEFENCE,blpilbox.pie,0,RES_DF_HCW1,0,0,0,7657,0,1,0,0,0,0,0,0
R-Def-Hardpoint,Level One,0,0,IMAGE_RES_DEFENCE,BLGUARD1.pie,0,RES_DF_HCW1,0,0,0,7657,0,1,0,0,0,0,0,0
R-Def-Site,Level One,0,0,IMAGE_RES_DEFENCE,Blaamnt2.pie,0,RES_DF_HCW1,0,0,0,7657,0,1,0,0,0,0,0,0
R-Def-Wall,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_DF_HCW1,FKWall,0,0,4375,0,0,0,0,0,1,0,0
R-DfU-Armours1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,9662,0,0,1,0,0,0,0,0
R-DfU-Armours2,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,10628,0,1,1,0,0,0,0,0
R-DfU-Armours3,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,11691,0,1,1,0,0,0,0,0
R-DfU-Armours4,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,12860,0,1,1,0,0,0,0,0
R-DfU-Armours5,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,14146,0,1,1,0,0,0,0,0
R-DfU-BodyPoints1,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,RES_DF_HCW1,0,0,0,9662,0,0,1,0,0,0,0,0
